board,board_group,board_description,trial,algorithm,solved,status,search_time_s,peak_memory_kb,expanded_nodes,generated_nodes,frontier_size,search_length,solution_length,best_trace_length,replay_length,node_limit
medium_demo,core,Built-in sample board medium_demo.,3,A*,1,Solved,0.254331,4687.227,256,4928,4672,12,12,12,12,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,1,BFS,0,Node limit reached,2.063527,12494.133,5000,9152,4152,8,0,8,8,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,1,DFS (IDS),0,Node limit reached,3.145313,13.664,5000,30534,0,5,0,5,5,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,1,UCS,0,Node limit reached,3.425165,25714.219,5000,17879,12628,14,0,14,12,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,1,A*,0,Node limit reached,2.882311,19465.168,5000,13374,8027,14,0,14,14,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,2,BFS,0,Node limit reached,2.088052,12224.195,5000,9152,4152,8,0,8,8,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,2,DFS (IDS),0,Node limit reached,3.040895,13.664,5000,30534,0,5,0,5,5,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,2,UCS,0,Node limit reached,3.703835,25728.516,5000,17879,12628,14,0,14,12,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,2,A*,0,Node limit reached,2.909708,19653.73,5000,13374,8027,14,0,14,14,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,3,BFS,0,Node limit reached,2.056711,11973.898,5000,9152,4152,8,0,8,8,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,3,DFS (IDS),0,Node limit reached,2.943388,13.664,5000,30534,0,5,0,5,5,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,3,UCS,0,Node limit reached,3.313674,25999.664,5000,17879,12628,14,0,14,12,5000
ms_deal_1,stress,Full Microsoft deal #1 from the current repository generator.,3,A*,0,Node limit reached,2.520649,19459.324,5000,13374,8027,14,0,14,14,5000
